id,run_at,city,temperature,temperature_unit,condition,humidity,wind_speed,alert_type,raw_response
1,2025-12-26 06:53:24.945+00,Chicago,4.6,C,overcast clouds,74,4.12,none,"{""dt"": 1766731689, ""id"": 4887398, ""cod"": 200, ""sys"": {""id"": 2005153, ""type"": 2, ""sunset"": 1766787928, ""country"": ""US"", ""sunrise"": 1766755018}, ""base"": ""stations"", ""main"": {""temp"": 4.6, ""humidity"": 74, ""pressure"": 1011, ""temp_max"": 5.3, ""temp_min"": 3.91, ""sea_level"": 1011, ""feels_like"": 1.3, ""grnd_level"": 989}, ""name"": ""Chicago"", ""wind"": {""deg"": 140, ""speed"": 4.12}, ""coord"": {""lat"": 41.85, ""lon"": -87.65}, ""clouds"": {""all"": 100}, ""weather"": [{""id"": 804, ""icon"": ""04n"", ""main"": ""Clouds"", ""description"": ""overcast clouds""}], ""timezone"": -21600, ""visibility"": 10000}"
2,2025-12-26 06:53:24.945+00,Chicago,4.6,C,overcast clouds,74,4.12,none,"{""dt"": 1766731689, ""id"": 4887398, ""cod"": 200, ""sys"": {""id"": 2005153, ""type"": 2, ""sunset"": 1766787928, ""country"": ""US"", ""sunrise"": 1766755018}, ""base"": ""stations"", ""main"": {""temp"": 4.6, ""humidity"": 74, ""pressure"": 1011, ""temp_max"": 5.3, ""temp_min"": 3.91, ""sea_level"": 1011, ""feels_like"": 1.3, ""grnd_level"": 989}, ""name"": ""Chicago"", ""wind"": {""deg"": 140, ""speed"": 4.12}, ""coord"": {""lat"": 41.85, ""lon"": -87.65}, ""clouds"": {""all"": 100}, ""weather"": [{""id"": 804, ""icon"": ""04n"", ""main"": ""Clouds"", ""description"": ""overcast clouds""}], ""timezone"": -21600, ""visibility"": 10000}"
3,2025-12-26 07:37:08.775+00,Chicago,4.89,C,overcast clouds,77,5.66,none,"{""dt"": 1766734181, ""id"": 4887398, ""cod"": 200, ""sys"": {""id"": 2005153, ""type"": 2, ""sunset"": 1766787928, ""country"": ""US"", ""sunrise"": 1766755018}, ""base"": ""stations"", ""main"": {""temp"": 4.89, ""humidity"": 77, ""pressure"": 1011, ""temp_max"": 5.3, ""temp_min"": 3.91, ""sea_level"": 1011, ""feels_like"": 0.9, ""grnd_level"": 989}, ""name"": ""Chicago"", ""wind"": {""deg"": 140, ""speed"": 5.66}, ""coord"": {""lat"": 41.85, ""lon"": -87.65}, ""clouds"": {""all"": 100}, ""weather"": [{""id"": 804, ""icon"": ""04n"", ""main"": ""Clouds"", ""description"": ""overcast clouds""}], ""timezone"": -21600, ""visibility"": 10000}"
4,2025-12-26 07:37:08.775+00,Chicago,4.89,C,overcast clouds,77,5.66,none,"{""dt"": 1766734181, ""id"": 4887398, ""cod"": 200, ""sys"": {""id"": 2005153, ""type"": 2, ""sunset"": 1766787928, ""country"": ""US"", ""sunrise"": 1766755018}, ""base"": ""stations"", ""main"": {""temp"": 4.89, ""humidity"": 77, ""pressure"": 1011, ""temp_max"": 5.3, ""temp_min"": 3.91, ""sea_level"": 1011, ""feels_like"": 0.9, ""grnd_level"": 989}, ""name"": ""Chicago"", ""wind"": {""deg"": 140, ""speed"": 5.66}, ""coord"": {""lat"": 41.85, ""lon"": -87.65}, ""clouds"": {""all"": 100}, ""weather"": [{""id"": 804, ""icon"": ""04n"", ""main"": ""Clouds"", ""description"": ""overcast clouds""}], ""timezone"": -21600, ""visibility"": 10000}"
5,2025-12-26 07:52:09.965+00,Chicago,4.86,C,overcast clouds,79,6.17,none,"{""dt"": 1766735003, ""id"": 4887398, ""cod"": 200, ""sys"": {""id"": 2005153, ""type"": 2, ""sunset"": 1766787928, ""country"": ""US"", ""sunrise"": 1766755018}, ""base"": ""stations"", ""main"": {""temp"": 4.86, ""humidity"": 79, ""pressure"": 1010, ""temp_max"": 5.3, ""temp_min"": 3.91, ""sea_level"": 1010, ""feels_like"": 0.65, ""grnd_level"": 988}, ""name"": ""Chicago"", ""wind"": {""deg"": 150, ""gust"": 9.26, ""speed"": 6.17}, ""coord"": {""lat"": 41.85, ""lon"": -87.65}, ""clouds"": {""all"": 100}, ""weather"": [{""id"": 804, ""icon"": ""04n"", ""main"": ""Clouds"", ""description"": ""overcast clouds""}], ""timezone"": -21600, ""visibility"": 10000}"
6,2025-12-26 07:52:09.965+00,Chicago,4.86,C,overcast clouds,79,6.17,none,"{""dt"": 1766735003, ""id"": 4887398, ""cod"": 200, ""sys"": {""id"": 2005153, ""type"": 2, ""sunset"": 1766787928, ""country"": ""US"", ""sunrise"": 1766755018}, ""base"": ""stations"", ""main"": {""temp"": 4.86, ""humidity"": 79, ""pressure"": 1010, ""temp_max"": 5.3, ""temp_min"": 3.91, ""sea_level"": 1010, ""feels_like"": 0.65, ""grnd_level"": 988}, ""name"": ""Chicago"", ""wind"": {""deg"": 150, ""gust"": 9.26, ""speed"": 6.17}, ""coord"": {""lat"": 41.85, ""lon"": -87.65}, ""clouds"": {""all"": 100}, ""weather"": [{""id"": 804, ""icon"": ""04n"", ""main"": ""Clouds"", ""description"": ""overcast clouds""}], ""timezone"": -21600, ""visibility"": 10000}"
7,2025-12-26 08:12:56.266+00,Chicago,4.99,C,overcast clouds,82,5.66,none,"{""dt"": 1766736599, ""id"": 4887398, ""cod"": 200, ""sys"": {""id"": 2005153, ""type"": 2, ""sunset"": 1766787928, ""country"": ""US"", ""sunrise"": 1766755018}, ""base"": ""stations"", ""main"": {""temp"": 4.99, ""humidity"": 82, ""pressure"": 1010, ""temp_max"": 5.58, ""temp_min"": 3.99, ""sea_level"": 1010, ""feels_like"": 1.03, ""grnd_level"": 988}, ""name"": ""Chicago"", ""wind"": {""deg"": 150, ""gust"": 9.77, ""speed"": 5.66}, ""coord"": {""lat"": 41.85, ""lon"": -87.65}, ""clouds"": {""all"": 100}, ""weather"": [{""id"": 804, ""icon"": ""04n"", ""main"": ""Clouds"", ""description"": ""overcast clouds""}], ""timezone"": -21600, ""visibility"": 10000}"
8,2025-12-26 09:03:05.793+00,Chicago,4.66,C,overcast clouds,84,5.66,none,"{""dt"": 1766739564, ""id"": 4887398, ""cod"": 200, ""sys"": {""id"": 2005153, ""type"": 2, ""sunset"": 1766787928, ""country"": ""US"", ""sunrise"": 1766755018}, ""base"": ""stations"", ""main"": {""temp"": 4.66, ""humidity"": 84, ""pressure"": 1009, ""temp_max"": 5.1, ""temp_min"": 3.99, ""sea_level"": 1009, ""feels_like"": 0.61, ""grnd_level"": 987}, ""name"": ""Chicago"", ""wind"": {""deg"": 150, ""gust"": 9.77, ""speed"": 5.66}, ""coord"": {""lat"": 41.85, ""lon"": -87.65}, ""clouds"": {""all"": 100}, ""weather"": [{""id"": 804, ""icon"": ""04n"", ""main"": ""Clouds"", ""description"": ""overcast clouds""}], ""timezone"": -21600, ""visibility"": 10000}"
9,2025-12-26 09:08:27.585+00,Chicago,4.64,C,overcast clouds,85,5.66,none,"{""dt"": 1766740095, ""id"": 4887398, ""cod"": 200, ""sys"": {""id"": 2005153, ""type"": 2, ""sunset"": 1766787928, ""country"": ""US"", ""sunrise"": 1766755018}, ""base"": ""stations"", ""main"": {""temp"": 4.64, ""humidity"": 85, ""pressure"": 1008, ""temp_max"": 5.1, ""temp_min"": 3.91, ""sea_level"": 1008, ""feels_like"": 0.58, ""grnd_level"": 987}, ""name"": ""Chicago"", ""wind"": {""deg"": 140, ""gust"": 9.26, ""speed"": 5.66}, ""coord"": {""lat"": 41.85, ""lon"": -87.65}, ""clouds"": {""all"": 100}, ""weather"": [{""id"": 804, ""icon"": ""04n"", ""main"": ""Clouds"", ""description"": ""overcast clouds""}], ""timezone"": -21600, ""visibility"": 10000}"
10,2025-12-26 09:26:50.407+00,Chicago,4.68,C,overcast clouds,86,5.66,none,"{""dt"": 1766741110, ""id"": 4887398, ""cod"": 200, ""sys"": {""id"": 2075214, ""type"": 2, ""sunset"": 1766787928, ""country"": ""US"", ""sunrise"": 1766755018}, ""base"": ""stations"", ""main"": {""temp"": 4.68, ""humidity"": 86, ""pressure"": 1007, ""temp_max"": 5.16, ""temp_min"": 3.96, ""sea_level"": 1007, ""feels_like"": 0.63, ""grnd_level"": 987}, ""name"": ""Chicago"", ""wind"": {""deg"": 140, ""gust"": 9.26, ""speed"": 5.66}, ""coord"": {""lat"": 41.85, ""lon"": -87.65}, ""clouds"": {""all"": 100}, ""weather"": [{""id"": 804, ""icon"": ""04n"", ""main"": ""Clouds"", ""description"": ""overcast clouds""}], ""timezone"": -21600, ""visibility"": 10000}"
11,2025-12-26 09:43:29.884+00,Chicago,4.66,C,overcast clouds,86,5.66,none,"{""dt"": 1766742058, ""id"": 4887398, ""cod"": 200, ""sys"": {""id"": 2075214, ""type"": 2, ""sunset"": 1766787928, ""country"": ""US"", ""sunrise"": 1766755018}, ""base"": ""stations"", ""main"": {""temp"": 4.66, ""humidity"": 86, ""pressure"": 1007, ""temp_max"": 5.3, ""temp_min"": 3.9, ""sea_level"": 1007, ""feels_like"": 0.61, ""grnd_level"": 985}, ""name"": ""Chicago"", ""wind"": {""deg"": 140, ""gust"": 9.26, ""speed"": 5.66}, ""coord"": {""lat"": 41.85, ""lon"": -87.65}, ""clouds"": {""all"": 100}, ""weather"": [{""id"": 804, ""icon"": ""04n"", ""main"": ""Clouds"", ""description"": ""overcast clouds""}], ""timezone"": -21600, ""visibility"": 10000}"
12,2025-12-26 09:43:44.709+00,Chicago,4.66,C,overcast clouds,86,5.66,none,"{""dt"": 1766742165, ""id"": 4887398, ""cod"": 200, ""sys"": {""id"": 2075214, ""type"": 2, ""sunset"": 1766787928, ""country"": ""US"", ""sunrise"": 1766755018}, ""base"": ""stations"", ""main"": {""temp"": 4.66, ""humidity"": 86, ""pressure"": 1007, ""temp_max"": 5.3, ""temp_min"": 3.9, ""sea_level"": 1007, ""feels_like"": 0.61, ""grnd_level"": 985}, ""name"": ""Chicago"", ""wind"": {""deg"": 140, ""gust"": 9.26, ""speed"": 5.66}, ""coord"": {""lat"": 41.85, ""lon"": -87.65}, ""clouds"": {""all"": 100}, ""weather"": [{""id"": 804, ""icon"": ""04n"", ""main"": ""Clouds"", ""description"": ""overcast clouds""}], ""timezone"": -21600, ""visibility"": 10000}"
13,2025-12-26 09:46:00.739+00,Chicago,4.68,C,overcast clouds,86,5.66,none,"{""dt"": 1766741970, ""id"": 4887398, ""cod"": 200, ""sys"": {""id"": 2075214, ""type"": 2, ""sunset"": 1766787928, ""country"": ""US"", ""sunrise"": 1766755018}, ""base"": ""stations"", ""main"": {""temp"": 4.68, ""humidity"": 86, ""pressure"": 1007, ""temp_max"": 5.3, ""temp_min"": 3.96, ""sea_level"": 1007, ""feels_like"": 0.63, ""grnd_level"": 985}, ""name"": ""Chicago"", ""wind"": {""deg"": 140, ""gust"": 9.26, ""speed"": 5.66}, ""coord"": {""lat"": 41.85, ""lon"": -87.65}, ""clouds"": {""all"": 100}, ""weather"": [{""id"": 804, ""icon"": ""04n"", ""main"": ""Clouds"", ""description"": ""overcast clouds""}], ""timezone"": -21600, ""visibility"": 10000}"
14,2025-12-26 10:02:23.696+00,Chicago,4.63,C,overcast clouds,88,3.58,none,"{""dt"": 1766743329, ""id"": 4887398, ""cod"": 200, ""sys"": {""id"": 2075214, ""type"": 2, ""sunset"": 1766787928, ""country"": ""US"", ""sunrise"": 1766755018}, ""base"": ""stations"", ""main"": {""temp"": 4.63, ""humidity"": 88, ""pressure"": 1007, ""temp_max"": 5.1, ""temp_min"": 3.91, ""sea_level"": 1007, ""feels_like"": 1.66, ""grnd_level"": 985}, ""name"": ""Chicago"", ""wind"": {""deg"": 177, ""gust"": 4.47, ""speed"": 3.58}, ""coord"": {""lat"": 41.85, ""lon"": -87.65}, ""clouds"": {""all"": 100}, ""weather"": [{""id"": 804, ""icon"": ""04n"", ""main"": ""Clouds"", ""description"": ""overcast clouds""}], ""timezone"": -21600, ""visibility"": 10000}"
15,2025-12-26 10:04:36.005+00,Chicago,4.58,C,overcast clouds,87,3.58,none,"{""dt"": 1766743200, ""id"": 4887398, ""cod"": 200, ""sys"": {""id"": 2075214, ""type"": 2, ""sunset"": 1766787928, ""country"": ""US"", ""sunrise"": 1766755018}, ""base"": ""stations"", ""main"": {""temp"": 4.58, ""humidity"": 87, ""pressure"": 1007, ""temp_max"": 5.3, ""temp_min"": 3.9, ""sea_level"": 1007, ""feels_like"": 1.6, ""grnd_level"": 985}, ""name"": ""Chicago"", ""wind"": {""deg"": 177, ""gust"": 4.47, ""speed"": 3.58}, ""coord"": {""lat"": 41.85, ""lon"": -87.65}, ""clouds"": {""all"": 100}, ""weather"": [{""id"": 804, ""icon"": ""04n"", ""main"": ""Clouds"", ""description"": ""overcast clouds""}], ""timezone"": -21600, ""visibility"": 10000}"
16,2025-12-26 10:05:00.291+00,Chicago,4.63,C,overcast clouds,88,3.58,none,"{""dt"": 1766743329, ""id"": 4887398, ""cod"": 200, ""sys"": {""id"": 2075214, ""type"": 2, ""sunset"": 1766787928, ""country"": ""US"", ""sunrise"": 1766755018}, ""base"": ""stations"", ""main"": {""temp"": 4.63, ""humidity"": 88, ""pressure"": 1007, ""temp_max"": 5.1, ""temp_min"": 3.91, ""sea_level"": 1007, ""feels_like"": 1.66, ""grnd_level"": 985}, ""name"": ""Chicago"", ""wind"": {""deg"": 177, ""gust"": 4.47, ""speed"": 3.58}, ""coord"": {""lat"": 41.85, ""lon"": -87.65}, ""clouds"": {""all"": 100}, ""weather"": [{""id"": 804, ""icon"": ""04n"", ""main"": ""Clouds"", ""description"": ""overcast clouds""}], ""timezone"": -21600, ""visibility"": 10000}"
17,2025-12-26 10:09:12.605+00,Chicago,4.62,C,overcast clouds,87,5.66,none,"{""dt"": 1766743177, ""id"": 4887398, ""cod"": 200, ""sys"": {""id"": 2075214, ""type"": 2, ""sunset"": 1766787928, ""country"": ""US"", ""sunrise"": 1766755018}, ""base"": ""stations"", ""main"": {""temp"": 4.62, ""humidity"": 87, ""pressure"": 1007, ""temp_max"": 5.3, ""temp_min"": 3.9, ""sea_level"": 1007, ""feels_like"": 0.56, ""grnd_level"": 985}, ""name"": ""Chicago"", ""wind"": {""deg"": 140, ""gust"": 9.26, ""speed"": 5.66}, ""coord"": {""lat"": 41.85, ""lon"": -87.65}, ""clouds"": {""all"": 100}, ""weather"": [{""id"": 804, ""icon"": ""04n"", ""main"": ""Clouds"", ""description"": ""overcast clouds""}], ""timezone"": -21600, ""visibility"": 10000}"
18,2025-12-26 10:14:37.795+00,Chicago,4.65,C,overcast clouds,88,5.66,none,"{""dt"": 1766744063, ""id"": 4887398, ""cod"": 200, ""sys"": {""id"": 2075214, ""type"": 2, ""sunset"": 1766787928, ""country"": ""US"", ""sunrise"": 1766755018}, ""base"": ""stations"", ""main"": {""temp"": 4.65, ""humidity"": 88, ""pressure"": 1006, ""temp_max"": 5.3, ""temp_min"": 3.91, ""sea_level"": 1006, ""feels_like"": 0.6, ""grnd_level"": 985}, ""name"": ""Chicago"", ""wind"": {""deg"": 150, ""speed"": 5.66}, ""coord"": {""lat"": 41.85, ""lon"": -87.65}, ""clouds"": {""all"": 100}, ""weather"": [{""id"": 804, ""icon"": ""04n"", ""main"": ""Clouds"", ""description"": ""overcast clouds""}], ""timezone"": -21600, ""visibility"": 10000}"
19,2025-12-26 10:25:35.283+00,Chicago,4.63,C,overcast clouds,89,5.66,none,"{""dt"": 1766744481, ""id"": 4887398, ""cod"": 200, ""sys"": {""id"": 2075214, ""type"": 2, ""sunset"": 1766787928, ""country"": ""US"", ""sunrise"": 1766755018}, ""base"": ""stations"", ""main"": {""temp"": 4.63, ""humidity"": 89, ""pressure"": 1006, ""temp_max"": 5.3, ""temp_min"": 3.91, ""sea_level"": 1006, ""feels_like"": 0.57, ""grnd_level"": 985}, ""name"": ""Chicago"", ""wind"": {""deg"": 150, ""speed"": 5.66}, ""coord"": {""lat"": 41.85, ""lon"": -87.65}, ""clouds"": {""all"": 100}, ""weather"": [{""id"": 804, ""icon"": ""04n"", ""main"": ""Clouds"", ""description"": ""overcast clouds""}], ""timezone"": -21600, ""visibility"": 10000}"
20,2025-12-26 10:25:35.283+00,San Francisco,12.43,C,scattered clouds,76,7.2,none,"{""dt"": 1766744726, ""id"": 5391959, ""cod"": 200, ""sys"": {""id"": 2017837, ""type"": 2, ""sunset"": 1766797020, ""country"": ""US"", ""sunrise"": 1766762621}, ""base"": ""stations"", ""main"": {""temp"": 12.43, ""humidity"": 76, ""pressure"": 1012, ""temp_max"": 13.33, ""temp_min"": 11.26, ""sea_level"": 1012, ""feels_like"": 11.71, ""grnd_level"": 1008}, ""name"": ""San Francisco"", ""wind"": {""deg"": 220, ""gust"": 12.35, ""speed"": 7.2}, ""coord"": {""lat"": 37.7749, ""lon"": -122.4194}, ""clouds"": {""all"": 40}, ""weather"": [{""id"": 802, ""icon"": ""03n"", ""main"": ""Clouds"", ""description"": ""scattered clouds""}], ""timezone"": -28800, ""visibility"": 10000}"
21,2025-12-26 10:25:35.283+00,New York,-4.81,C,clear sky,55,6.71,frost,"{""dt"": 1766744197, ""id"": 5128581, ""cod"": 200, ""sys"": {""id"": 2083229, ""type"": 2, ""sunset"": 1766784869, ""country"": ""US"", ""sunrise"": 1766751525}, ""base"": ""stations"", ""main"": {""temp"": -4.81, ""humidity"": 55, ""pressure"": 1023, ""temp_max"": -3.77, ""temp_min"": -6.03, ""sea_level"": 1023, ""feels_like"": -11.81, ""grnd_level"": 1021}, ""name"": ""New York"", ""wind"": {""deg"": 17, ""gust"": 8.94, ""speed"": 6.71}, ""coord"": {""lat"": 40.7143, ""lon"": -74.006}, ""clouds"": {""all"": 0}, ""weather"": [{""id"": 800, ""icon"": ""01n"", ""main"": ""Clear"", ""description"": ""clear sky""}], ""timezone"": -18000, ""visibility"": 10000}"